sku,title,source_url,filename,status
PKM-DRI-CB-EN,Pokemon TCG: Team Rockets Mewtwo ex Box,https://www.tcgplayer.com/product/634607/pokemon-miscellaneous-cards-and-products-team-rockets-mewtwo-ex-box-case?page=1,PKM-DRI-CB-EN.jpg,ok
PKM-BB-SBP-EN,Pokemon TCG: SV Black Bolt Sleeved Booster Pack,https://www.tcgplayer.com/product/630431/pokemon-sv-black-bolt-black-bolt-booster-bundle?page=1,PKM-BB-SBP-EN.jpg,ok
PKM-BB-BB-EN,Pokemon TCG: SV Black Bolt Booster Bundle,https://www.tcgplayer.com/product/630431/pokemon-sv-black-bolt-black-bolt-booster-bundle?page=1,PKM-BB-BB-EN.jpg,ok
PKM-BB-ETB-EN,Pokemon TCG: SV Black Bolt Elite Trainer Box,https://www.tcgplayer.com/product/630686/pokemon-sv-black-bolt-black-bolt-elite-trainer-box?page=1,PKM-BB-ETB-EN.jpg,ok
PKM-BB-PCETB-EN,Pokemon TCG: SV Black Bolt Pokemon Center ETB,https://www.tcgplayer.com/product/630687/pokemon-sv-black-bolt-black-bolt-pokemon-center-elite-trainer-box-exclusive?page=1,PKM-BB-PCETB-EN.jpg,ok
PKM-WF-SBP-EN,Pokemon TCG: SV White Flare Sleeved Booster Pack,https://www.tcgplayer.com/product/630696/pokemon-sv-white-flare-white-flare-booster-bundle?page=1,PKM-WF-SBP-EN.jpg,ok
PKM-WF-BB-EN,Pokemon TCG: SV White Flare Booster Bundle,https://www.tcgplayer.com/product/630696/pokemon-sv-white-flare-white-flare-booster-bundle?page=1,PKM-WF-BB-EN.jpg,ok
PKM-WF-ETB-EN,Pokemon TCG: SV White Flare Elite Trainer Box,https://www.tcgplayer.com/product/630693/pokemon-sv-white-flare-white-flare-elite-trainer-box-case?page=1,PKM-WF-ETB-EN.jpg,ok
PKM-WF-PCETB-EN,Pokemon TCG: SV White Flare Pokemon Center ETB,https://www.tcgplayer.com/product/630688/pokemon-sv-white-flare-white-flare-pokemon-center-elite-trainer-box-exclusive?page=1,PKM-WF-PCETB-EN.jpg,ok
PKM-BB-HC-EN,Pokemon TCG: Holiday Calendar 2025,https://www.tcgplayer.com/product/639830/pokemon-miscellaneous-cards-and-products-holiday-calendar-2025-case?page=1,,dl-failed
PKM-MEV-SBP-EN,Pokemon TCG: SV Mega Evolution Sleeved Booster Pack,https://www.tcgplayer.com/product/650766/pokemon-me01-mega-evolution-mega-evolution-sleeved-booster-case?page=1,PKM-MEV-SBP-EN.jpg,ok
PKM-MEV-BB-EN,Pokemon TCG: SV Mega Evolution Booster Bundle,https://www.tcgplayer.com/product/644730/pokemon-me01-mega-evolution-mega-evolution-booster-bundle-case?page=1,PKM-MEV-BB-EN.jpg,ok
PKM-MEV-BX-EN,Pokemon TCG: SV Mega Evolution Booster Box,https://www.tcgplayer.com/product/644727/pokemon-me01-mega-evolution-mega-evolution-elite-trainer-box-case?page=1,,dl-failed
